




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
JOLIET PCT 018                1334                          123                           199                           333                           655                           52                            124                           238                           414                           0                             0                             0                             0                             0                             0                             0                             0                             1069                          
JOLIET PCT 019                1140                          109                           169                           232                           510                           17                            109                           145                           271                           0                             0                             0                             0                             0                             0                             0                             0                             781                           
JOLIET PCT 020                1091                          90                            130                           264                           484                           22                            118                           196                           336                           0                             0                             0                             0                             0                             0                             0                             0                             820                           
JOLIET PCT 021                630                           22                            59                            157                           238                           7                             38                            108                           153                           0                             0                             0                             0                             0                             0                             0                             0                             391                           
JOLIET PCT 022                1007                          55                            113                           219                           387                           13                            57                            76                            146                           0                             0                             0                             0                             0                             0                             0                             0                             533                           
JOLIET PCT 023                1021                          46                            101                           207                           354                           7                             34                            60                            101                           0                             0                             0                             0                             0                             0                             0                             0                             455                           
JOLIET PCT 024                1080                          52                            115                           247                           414                           15                            48                            119                           182                           0                             0                             0                             0                             0                             0                             0                             0                             596                           
JOLIET PCT 025                811                           81                            90                            157                           328                           31                            57                            126                           214                           0                             0                             0                             0                             0                             0                             0                             0                             542                           
JOLIET PCT 026                1125                          84                            132                           228                           444                           23                            69                            169                           261                           0                             0                             0                             0                             0                             0                             0                             0                             705                           
JOLIET PCT 027                849                           30                            117                           201                           348                           5                             18                            80                            103                           0                             0                             0                             0                             0                             0                             0                             0                             451                           
JOLIET PCT 028                946                           45                            144                           197                           386                           3                             15                            39                            57                            0                             0                             0                             0                             0                             0                             0                             0                             443                           
JOLIET PCT 029                1143                          78                            156                           189                           423                           19                            80                            98                            197                           0                             0                             0                             0                             0                             0                             0                             0                             620                           
JOLIET PCT 030                1179                          59                            98                            277                           434                           21                            81                            199                           301                           0                             0                             0                             0                             0                             0                             0                             0                             735                           
JOLIET PCT 031                1154                          66                            147                           242                           455                           23                            91                            149                           263                           0                             0                             0                             0                             0                             0                             0                             0                             718                           
JOLIET PCT 032                849                           48                            165                           222                           435                           1                             20                            28                            49                            0                             0                             0                             0                             0                             0                             0                             0                             484                           
JOLIET PCT 033                1043                          43                            60                            302                           405                           19                            54                            188                           261                           0                             0                             0                             0                             0                             0                             0                             0                             666                           
JOLIET PCT 034                947                           54                            178                           216                           448                           3                             56                            30                            89                            0                             0                             0                             0                             0                             0                             0                             0                             537                           
JOLIET PCT 035                1115                          115                           197                           200                           512                           27                            53                            110                           190                           0                             0                             0                             0                             1                             0                             0                             1                             703                           
JOLIET PCT 036                921                           60                            172                           223                           455                           9                             35                            60                            104                           0                             0                             0                             0                             0                             0                             0                             0                             559                           
JOLIET PCT 037                1179                          104                           205                           220                           529                           28                            77                            121                           226                           0                             0                             0                             0                             0                             0                             0                             0                             755                           
LOCKPORT PCT 002              1723                          94                            208                           370                           672                           28                            172                           325                           525                           0                             0                             0                             0                             0                             0                             0                             0                             1197                          
LOCKPORT PCT 003              1608                          97                            127                           412                           636                           21                            95                            261                           377                           0                             0                             0                             0                             0                             0                             0                             0                             1013                          
LOCKPORT PCT 004              1354                          90                            130                           274                           494                           24                            111                           251                           386                           0                             0                             0                             0                             0                             0                             0                             0                             880                           
LOCKPORT PCT 006              1886                          127                           234                           485                           846                           38                            106                           303                           447                           0                             0                             0                             0                             0                             0                             0                             0                             1293                          
LOCKPORT PCT 007              1841                          115                           206                           587                           908                           41                            114                           259                           414                           0                             0                             0                             0                             0                             0                             0                             0                             1322                          
LOCKPORT PCT 008              1571                          84                            257                           406                           747                           26                            78                            130                           234                           0                             0                             0                             0                             0                             0                             0                             0                             981                           
LOCKPORT PCT 009              2080                          262                           247                           452                           961                           90                            154                           318                           562                           0                             0                             0                             0                             0                             0                             0                             0                             1523                          
LOCKPORT PCT 011              1429                          104                           170                           211                           485                           34                            226                           274                           534                           0                             0                             0                             0                             0                             0                             0                             0                             1019                          
LOCKPORT PCT 013              1958                          274                           228                           442                           944                           105                           230                           354                           689                           0                             0                             0                             0                             0                             0                             0                             0                             1633                          
LOCKPORT PCT 014              1308                          72                            131                           274                           477                           36                            152                           265                           453                           0                             0                             0                             0                             0                             0                             0                             0                             930                           
LOCKPORT PCT 015              1283                          88                            147                           323                           558                           14                            83                            237                           334                           0                             0                             0                             0                             0                             1                             0                             1                             893                           
LOCKPORT PCT 016              1481                          89                            171                           239                           499                           39                            222                           302                           563                           0                             0                             0                             0                             0                             0                             0                             0                             1062                          
LOCKPORT PCT 018              1581                          109                           196                           223                           528                           41                            265                           259                           565                           0                             0                             0                             0                             0                             0                             0                             0                             1093                          
LOCKPORT PCT 019              1446                          158                           213                           243                           614                           77                            236                           237                           550                           0                             0                             0                             0                             0                             0                             0                             0                             1164                          
LOCKPORT PCT 020              1165                          81                            117                           206                           404                           33                            138                           205                           376                           0                             0                             0                             0                             0                             0                             0                             0                             780                           
LOCKPORT PCT 021              1359                          114                           146                           284                           544                           28                            67                            190                           285                           0                             0                             0                             0                             0                             0                             0                             0                             829                           
LOCKPORT PCT 022              1070                          58                            97                            220                           375                           20                            88                            227                           335                           0                             0                             0                             0                             0                             0                             0                             0                             710                           
LOCKPORT PCT 023              1006                          61                            77                            205                           343                           17                            74                            197                           288                           0                             0                             0                             0                             0                             0                             0                             0                             631                           
LOCKPORT PCT 024              812                           50                            108                           222                           380                           6                             26                            50                            82                            0                             0                             0                             0                             0                             0                             0                             0                             462                           
PLAINFIELD PCT 001            1585                          163                           209                           266                           638                           46                            185                           298                           529                           0                             0                             0                             0                             0                             0                             0                             0                             1167                          
PLAINFIELD PCT 002            1601                          123                           216                           277                           616                           47                            217                           289                           553                           0                             0                             0                             0                             0                             0                             0                             0                             1169                          
PLAINFIELD PCT 003            1490                          137                           146                           288                           571                           57                            207                           301                           565                           0                             0                             0                             0                             0                             0                             0                             0                             1136                          
PLAINFIELD PCT 004            1419                          73                            136                           413                           622                           14                            94                            254                           362                           0                             0                             0                             0                             0                             0                             0                             0                             984                           
PLAINFIELD PCT 005            1441                          103                           131                           366                           600                           32                            100                           305                           437                           0                             0                             0                             0                             0                             0                             0                             0                             1037                          
PLAINFIELD PCT 006            927                           54                            64                            320                           438                           4                             32                            192                           228                           0                             0                             0                             0                             0                             0                             0                             0                             666                           
PLAINFIELD PCT 007            1900                          143                           228                           450                           821                           41                            119                           306                           466                           0                             0                             0                             0                             0                             0                             0                             0                             1287                          
PLAINFIELD PCT 008            1649                          135                           263                           348                           746                           39                            217                           327                           583                           0                             0                             0                             0                             0                             0                             1                             1                             1330                          
PLAINFIELD PCT 009            1906                          151                           308                           283                           742                           87                            276                           275                           638                           0                             0                             0                             0                             0                             0                             0                             0                             1380                          
PLAINFIELD PCT 010            1236                          82                            139                           245                           466                           54                            190                           195                           439                           0                             0                             0                             0                             0                             0                             0                             0                             905                           
PLAINFIELD PCT 011            781                           40                            98                            186                           324                           15                            44                            128                           187                           0                             0                             0                             0                             0                             0                             0                             0                             511                           
PLAINFIELD PCT 012            1609                          125                           163                           446                           734                           21                            116                           284                           421                           0                             0                             0                             0                             0                             0                             0                             0                             1155                          
PLAINFIELD PCT 013            2617                          247                           412                           433                           1092                          81                            384                           476                           941                           0                             0                             0                             0                             0                             0                             0                             0                             2033                          
PLAINFIELD PCT 014            1924                          174                           302                           286                           762                           65                            295                           346                           706                           0                             0                             0                             0                             0                             0                             0                             0                             1468                          
PLAINFIELD PCT 015            1974                          199                           233                           308                           740                           73                            277                           419                           769                           0                             0                             0                             0                             0                             0                             0                             0                             1509                          
PLAINFIELD PCT 016            1735                          160                           211                           301                           672                           64                            230                           336                           630                           0                             0                             0                             0                             0                             0                             0                             0                             1302                          
PLAINFIELD PCT 017            1655                          110                           159                           355                           624                           27                            132                           317                           476                           0                             1                             0                             1                             0                             0                             0                             0                             1101                          
PLAINFIELD PCT 018            1235                          82                            164                           274                           520                           26                            124                           233                           383                           0                             0                             0                             0                             0                             0                             0                             0                             903                           
PLAINFIELD PCT 019            1799                          105                           198                           485                           788                           36                            133                           357                           526                           0                             0                             0                             0                             0                             0                             0                             0                             1314                          
PLAINFIELD PCT 020            1748                          143                           176                           294                           613                           63                            232                           341                           636                           0                             0                             0                             0                             0                             0                             0                             0                             1249                          
PLAINFIELD PCT 021            1203                          87                            144                           196                           427                           39                            157                           238                           434                           0                             0                             0                             0                             0                             0                             0                             0                             861                           
PLAINFIELD PCT 022            1057                          91                            99                            174                           364                           42                            143                           219                           404                           0                             0                             0                             0                             0                             0                             0                             0                             768                           
PLAINFIELD PCT 023            1087                          71                            105                           238                           414                           25                            102                           238                           365                           0                             0                             0                             0                             0                             0                             0                             0                             779                           
PLAINFIELD PCT 024            1187                          128                           121                           207                           456                           48                            143                           268                           459                           0                             0                             0                             0                             0                             0                             0                             0                             915                           
PLAINFIELD PCT 025            1704                          105                           152                           422                           679                           40                            136                           332                           508                           0                             0                             0                             0                             0                             0                             0                             0                             1187                          
PLAINFIELD PCT 026            2036                          141                           198                           494                           833                           61                            161                           349                           571                           0                             0                             0                             0                             0                             0                             0                             0                             1404                          
PLAINFIELD PCT 027            1229                          92                            132                           325                           549                           20                            87                            235                           342                           0                             0                             0                             0                             0                             0                             0                             0                             891                           
PLAINFIELD PCT 028            1481                          102                           130                           378                           610                           17                            122                           338                           477                           0                             0                             0                             0                             0                             0                             0                             0                             1087                          
PLAINFIELD PCT 029            1312                          77                            123                           264                           464                           48                            149                           290                           487                           0                             0                             0                             0                             0                             0                             0                             0                             951                           
PLAINFIELD PCT 030            1270                          104                           98                            298                           500                           44                            113                           281                           438                           0                             0                             0                             0                             0                             0                             0                             0                             938                           
PLAINFIELD PCT 031            1306                          101                           112                           304                           517                           32                            121                           282                           435                           0                             0                             0                             0                             0                             0                             0                             0                             952                           
PLAINFIELD PCT 032            1263                          85                            133                           281                           499                           36                            121                           230                           387                           0                             0                             0                             0                             0                             0                             0                             0                             886                           
PLAINFIELD PCT 033            1348                          114                           132                           241                           487                           52                            159                           267                           478                           0                             0                             0                             0                             0                             0                             0                             0                             965                           
PLAINFIELD PCT 034            1418                          86                            133                           325                           544                           21                            139                           286                           446                           0                             0                             0                             0                             0                             0                             0                             0                             990                           
PLAINFIELD PCT 035            1396                          108                           140                           339                           587                           18                            93                            280                           391                           0                             0                             0                             0                             0                             0                             0                             0                             978                           
TROY PCT 001                  2759                          177                           357                           583                           1117                          42                            212                           495                           749                           0                             0                             0                             0                             0                             0                             0                             0                             1866                          
TROY PCT 002                  1775                          117                           227                           355                           699                           37                            180                           260                           477                           0                             0                             0                             0                             0                             0                             0                             0                             1176                          
TROY PCT 003                  1220                          3                             5                             11                            19                            1                             8                             6                             15                            0                             0                             0                             0                             0                             0                             0                             0                             34                            
TROY PCT 004                  1193                          77                            126                           240                           443                           34                            165                           280                           479                           0                             0                             0                             0                             0                             0                             0                             0                             922                           
TROY PCT 005                  1080                          135                           125                           172                           432                           53                            153                           189                           395                           0                             0                             0                             0                             0                             0                             0                             0                             827                           
